Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SL Malinga,2010-2015,116,113,931.3,51,5080,181,6/38,28.06,5.45,30.8,4,6
NLTC Perera,2010-2015,96,92,600.5,19,3453,107,6/44,32.27,5.74,33.6,3,2
KMDN Kulasekara,2010-2015,89,88,679.5,46,3486,88,22/05/2015,39.61,5.12,46.3,1,1
AD Mathews,2010-2015,132,108,597.1,35,2736,73,29/04/2015,37.47,4.58,49,1,0
BAW Mendis,2011-2014,39,38,322.5,17,1623,70,4/46,23.18,5.02,27.6,4,0
HMRKB Herath,2011-2015,62,60,484.2,16,2147,65,20/04/2015,33.03,4.43,44.7,1,0
SMSM Senanayake,2012-2015,46,44,379.4,11,1802,52,13/04/2015,34.65,4.74,43.8,1,0
TM Dilshan,2010-2015,131,93,466,8,2316,50,04/04/2015,46.32,4.96,55.9,1,0
RAS Lakmal,2011-2015,32,32,251,16,1349,49,30/04/2015,27.53,5.37,30.7,1,0
KTGD Prasad,2011-2015,19,19,133.1,2,759,27,17/03/2015,28.11,5.69,29.5,0,0
BMAJ Mendis,2010-2015,50,42,195.5,2,1015,24,15/03/2015,42.29,5.18,48.9,0,0
S Prasanna,2011-2015,25,25,208.1,6,1106,22,3/32,50.27,5.31,56.7,0,0
RMS Eranga,2011-2015,17,16,112.2,4,652,20,3/46,32.6,5.8,33.7,0,0
M Muralitharan,2010-2011,13,12,107,3,441,19,25/04/2015,23.21,4.12,33.7,1,0
S Randiv,2010-2014,12,12,91.1,0,514,17,5/42,30.23,5.63,32.1,0,1
MF Maharoof,2012-2012,10,10,83,2,432,12,3/40,36,5.2,41.5,0,0
CRD Fernando,2010-2012,8,8,71.1,5,378,11,26/03/2015,34.36,5.31,38.8,0,0
PVD Chameera,2015-2015,3,3,17.1,0,140,5,3/51,28,8.15,20.6,0,0
PC de Silva,2014-2014,6,6,48.4,2,233,5,2/29,46.6,4.78,58.4,0,0
SMA Priyanjan,2013-2015,23,14,44.1,1,233,5,11/02/2015,46.6,5.27,53,0,0
N Pradeep,2012-2015,5,5,37.2,1,213,4,2/63,53.25,5.7,56,0,0
SS Pathirana,2015-2015,3,3,29,0,200,3,2/70,66.66,6.89,58,0,0
TAM Siriwardana,2015-2015,5,4,15.1,0,79,3,19/01/2015,26.33,5.2,30.3,0,0
HDRL Thirimanne,2012-2015,96,4,17.2,0,94,3,2/36,31.33,5.42,34.6,0,0
PLS Gamage,2014-2015,5,5,37,2,224,2,1/59,112,6.05,111,0,0
ST Jayasuriya,2011-2011,1,1,6,0,46,1,1/46,46,7.66,36,0,0
DPMD Jayawardene,2010-2015,122,1,1.5,0,5,1,05/01/2015,5,2.72,11,0,0
MDK Perera,2014-2014,1,1,9,0,53,1,1/53,53,5.88,54,0,0
TT Samaraweera,2011-2011,12,1,2,0,4,1,04/01/2015,4,2,12,0,0
S Weerakoon,2012-2012,2,1,10,0,49,1,1/49,49,4.9,60,0,0
LHD Dilhara,2013-2013,1,1,8,0,40,0,-,-,5,-,0,0
SHT Kandamby,2011-2014,6,1,1,0,9,0,-,-,9,-,0,0
CK Kapugedera,2011-2012,10,3,4,0,25,0,-,-,6.25,-,0,0
FDM Karunaratne,2011-2015,17,1,1.4,0,11,0,-,-,6.6,-,0,0
PHT Kaushal,2015-2015,1,1,6,0,25,0,-,-,4.16,-,0,0
CKB Kulasekara,2011-2012,4,4,13,0,80,0,-,-,6.15,-,0,0
J Mubarak,2013-2013,2,2,3,0,19,0,-,-,6.33,-,0,0
AK Perera,2013-2014,3,1,3,0,17,0,-,-,5.66,-,0,0
LPC Silva,2010-2011,14,1,3,0,12,0,-,-,4,-,0,0
I Udana,2012-2012,2,2,12,0,84,0,-,-,7,-,0,0
KDK Vithanage,2013-2014,6,2,2,0,17,0,-,-,8.5,-,0,0
LD Chandimal,2011-2015,96,-,-,-,-,-,-,-,-,-,-,-
A Dananjaya,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-
N Dickwella,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-
MDKJ Perera,2013-2015,48,-,-,-,-,-,-,-,-,-,-,-
KC Sangakkara,2010-2015,128,-,-,-,-,-,-,-,-,-,-,-
WU Tharanga,2010-2015,74,-,-,-,-,-,-,-,-,-,-,-
