Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
HMRKB Herath,2010-2015,41,75,2131.4,420,5710,207,9/127,14/184,27.58,2.67,61.7,18,4
KTGD Prasad,2010-2015,18,31,530.2,73,1892,53,5/50,8/169,35.69,3.56,60,1,0
RMS Eranga,2011-2014,16,30,561.5,115,1814,52,4/49,6/226,34.88,3.22,64.8,0,0
RAS Lakmal,2010-2015,24,42,738.2,138,2478,50,4/78,6/105,49.56,3.35,88.6,0,0
UWMBCA Welegedara,2011-2014,15,25,467.4,95,1566,43,5/52,6/106,36.41,3.34,65.2,2,0
MDK Perera,2014-2015,8,15,397.2,70,1236,40,5/69,8/129,30.9,3.11,59.6,3,0
N Pradeep,2011-2015,13,26,421.4,55,1588,34,4/62,7/180,46.7,3.76,74.4,0,0
S Randiv,2010-2012,10,18,397.1,45,1229,32,4/13/2015,7/99,38.4,3.09,74.4,0,0
PHT Kaushal,2014-2015,6,12,251.2,15,1011,24,5/42,8/181,42.12,4.02,62.8,2,0
TM Dilshan,2010-2013,24,34,366.5,45,1121,23,3/57,3/8/2015,48.73,3.05,95.6,0,0
KMDN Kulasekara,2010-2014,10,19,325.5,69,932,23,3/48,5/75,40.52,2.86,85,0,0
AD Mathews,2010-2015,42,49,394,97,1050,23,4/44,4/60,45.65,2.66,102.7,0,0
BAW Mendis,2010-2014,7,11,250.2,35,790,20,6/99,6/160,39.5,3.15,75.1,2,0
CRD Fernando,2010-2012,6,9,144.3,13,596,11,3/74,3/122,54.18,4.12,78.8,0,0
NLTC Perera,2011-2012,6,8,159,20,653,11,4/63,4/151,59.36,4.1,86.7,0,0
PVD Chameera,2015-2015,2,4,62.5,3,221,6,3/53,4/86,36.83,3.51,62.8,0,0
CKB Kulasekara,2011-2011,1,2,28,7,80,1,1/65,1/80,80,2.85,168,0,0
MF Maharoof,2011-2011,2,3,52,8,173,1,1/92,1/92,173,3.32,312,0,0
TT Samaraweera,2010-2013,21,3,6,0,10,1,1/7/2015,1/7/2015,10,1.66,36,0,0
KDK Vithanage,2013-2015,8,5,29,1,133,1,1/73,1/73,133,4.58,174,0,0
DPMD Jayawardene,2010-2014,36,2,7,2,18,0,-,-,-,2.57,-,0,0
FDM Karunaratne,2012-2015,21,1,2,0,5,0,-,-,-,2.5,-,0,0
J Mubarak,2015-2015,3,1,3.1,0,16,0,-,-,-,5.05,-,0,0
NT Paranavitana,2010-2012,19,1,2,0,10,0,-,-,-,5,-,0,0
S Prasanna,2011-2011,1,1,23,3,80,0,-,-,-,3.47,-,0,0
KC Sangakkara,2010-2015,43,2,3,0,11,0,-,-,-,3.66,-,0,0
SMSM Senanayake,2013-2014,1,2,23,2,96,0,-,-,-,4.17,-,0,0
HDRL Thirimanne,2011-2015,22,5,14,1,51,0,-,-,-,3.64,-,0,0
T Thushara,2010-2010,1,1,21,4,79,0,-,-,-,3.76,-,0,0
LD Chandimal,2011-2015,21,-,-,-,-,-,-,-,-,-,-,-,-
N Dickwella,2014-2014,4,-,-,-,-,-,-,-,-,-,-,-,-
HAPW Jayawardene,2010-2015,25,-,-,-,-,-,-,-,-,-,-,-,-
MDKJ Perera,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
JK Silva,2011-2015,22,-,-,-,-,-,-,-,-,-,-,-,-
WU Tharanga,2014-2015,6,-,-,-,-,-,-,-,-,-,-,-,-
