Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MN Samuels,2011-2015,67,65,9,2118,133,37.82,2897,73.11,6,7,4,190,54
DM Bravo,2011-2015,71,70,8,2001,124,32.27,2888,69.28,2,15,7,173,40
LMP Simmons,2011-2015,49,47,1,1650,122,35.86,2130,77.46,2,14,4,131,48
KA Pollard,2011-2014,61,58,4,1504,119,27.85,1609,93.47,3,6,9,100,75
DJG Sammy,2011-2015,83,73,19,1363,89,25.24,1339,101.79,0,7,2,110,65
CH Gayle,2011-2015,49,49,2,1336,215,28.42,1422,93.95,3,5,3,119,73
DJ Bravo,2011-2014,57,54,8,1253,106,27.23,1518,82.54,1,5,4,102,30
D Ramdin,2011-2015,46,36,5,1012,169,32.64,1174,86.2,2,5,2,75,22
AD Russell,2011-2015,50,42,9,944,92,28.6,729,129.49,0,4,5,87,50
J Charles,2012-2015,32,32,0,927,130,28.96,1126,82.32,2,3,5,104,24
KOA Powell,2011-2014,26,26,0,767,83,29.5,937,81.85,0,7,1,91,11
RR Sarwan,2011-2013,25,23,3,706,120,35.3,1087,64.94,1,5,2,54,7
DR Smith,2012-2015,28,28,1,635,97,23.51,732,86.74,0,5,7,71,19
DS Smith,2011-2013,15,15,0,378,107,25.2,528,71.59,1,2,3,41,4
KA Edwards,2011-2014,16,16,2,331,123,23.64,494,67,1,0,3,23,7
JO Holder,2013-2015,33,21,7,317,57,22.64,338,93.78,0,2,4,28,11
SP Narine,2011-2014,52,35,9,282,36,10.84,355,79.43,0,0,6,25,10
AB Barath,2011-2012,9,9,1,263,113,32.87,384,68.48,1,0,2,30,2
CS Baugh,2011-2012,17,13,4,259,49,28.77,394,65.73,0,0,1,18,1
DC Thomas,2011-2013,19,18,1,209,37,12.29,332,62.95,0,0,3,17,2
KAJ Roach,2011-2015,54,34,22,196,34,16.33,381,51.44,0,0,5,16,3
R Rampaul,2011-2014,40,19,7,194,86,16.16,249,77.91,0,1,1,19,8
JL Carter,2015-2015,10,9,1,193,50,24.12,276,69.92,0,1,1,20,3
N Deonarine,2013-2015,11,10,0,172,43,17.2,255,67.45,0,0,0,15,2
S Chanderpaul,2011-2011,7,6,2,130,44,32.5,248,52.41,0,0,0,4,2
DP Hyatt,2011-2011,9,9,1,112,39,14,188,59.57,0,0,1,8,6
SJ Benn,2011-2015,16,12,5,51,18,7.28,78,65.38,0,0,0,6,1
JE Taylor,2014-2015,13,7,1,50,15,8.33,70,71.42,0,0,2,7,0
NO Miller,2011-2015,13,6,3,41,13,13.66,61,67.21,0,0,1,3,0
CR Brathwaite,2011-2015,4,4,0,27,11,6.75,53,50.94,0,0,0,1,1
TL Best,2012-2014,14,8,5,24,7,8,52,46.15,0,0,1,2,0
LR Johnson,2015-2015,3,3,0,19,18,6.33,61,31.14,0,0,1,2,1
CAK Walton,2014-2014,3,2,0,17,17,8.5,27,62.96,0,0,1,1,0
V Permaul,2012-2013,6,3,1,11,10,5.5,21,52.38,0,0,0,1,0
D Bishoo,2011-2011,13,7,2,10,6,2,26,38.46,0,0,4,2,0
A Martin,2011-2011,9,6,5,10,4,10,29,34.48,0,0,0,0,0
SS Cottrell,2015-2015,2,2,2,3,2,-,9,33.33,0,0,0,0,0
JN Mohammed,2011-2011,1,1,0,2,2,2,21,9.52,0,0,0,0,0
ML Cummins,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
